var,V1,V1.1,V1.2
F82_DISCOURSE,G,1,0
F86_TOPIC,G,1,0
F90_NSD,G,1,0
F96_ERGATIVE,G,1,0
F105_INSUB,I,1,0
F111_MOTION,G,1,0
F112_CAUSATIVE,G,1,0
F113_IMPERATIVE,G,1,0
F114_IMPERATIVE,G,1,0
F118_GO,G,1,0
F119_HIT,G,1,0
F120_SUBOR,I,1,0
F121_kayirra_s,G,1,0
F122_kurlarra_s,G,1,0
F123_kaarnirra_s,G,1,0
F124_karlarra_s,G,1,0
F125_D_s,G,1,0
F126_K_s,G,1,0
F127_TC_s,G,1,0
F128_HC_s,G,1,0
F129_PH_s,G,1,0
F130_J_s,G,1,0
F131_kankula._p,G,1,0
F132_kanyjurra_p,G,1,0
F133_kayirra_p,G,1,0
F134_kurlarra_p,G,1,0
F135_kaarnirra_p,G,1,0
F136_karlarra_p,G,1,0
F137_AS_p,G,1,0
F138_AS_east,G,1,0
F139_D_p,G,1,0
F140_K_p,G,1,0
F141_TC_p,G,1,0
F142_HC_p,G,1,0
F143_PH_p,G,1,0
F144_J_p,G,1,0
F145_Absolute,G,1,0
F146_warlaku_c,G,1,0
F147_yawarta_c,G,1,0
F148_yiparrartu_c,G,1,0
F149_kurrurij_c,G,1,0
F150_warrija_c,G,1,0
F151_kirrawa_c,G,1,0
F152_marlimarli_c,G,1,0
F153_warlawurru_c,G,1,0
F154_wirnangpurru_c,G,1,0
F155_ngakparn_c,G,1,0
F156_wartan_c,G,1,0
F157_jamana_c,G,1,0
F158_jitji_c,G,1,0
F159_tingarri_c,G,1,0
F160_mila_c,G,1,0
F161_tarru_c,G,1,0
F162_lungarn_c,G,1,0
F163_barra_c,G,1,0
F164_jalany_c,G,1,0
F165_majul_c,G,1,0
F166_prickle_c,G,1,0
F167_tree_c,G,1,0
F168_yuka_c,G,1,0
F169_wamala_c,G,1,0
F170_ngawa_c,G,1,0
F171_boy_c,G,1,0
F172_jawi_c,G,1,0
F173_mangarri_c,G,1,0
F174_juru_c,G,1,0
F175_ngarin_c,G,1,0
F176_makarta_c,G,1,0
F177_yawu_c,G,1,0
F178_pinka_c,G,1,0
F179_marru_c,G,1,0
F180_maarn_c,G,1,0
F181_jurlaka_c,G,1,0
F182_marrinyjirla_c,G,1,0
F183_jawurt_c,G,1,0
F184_pangarra_c,G,1,0
F185_kartiya_c,G,1,0
