var,V1,V2,V1.1,V1.2,V2.1,V2.2,V3.1,V3.2,V4.1,V4.2
F1_UP,K,G,0,1,1,1,1,0,0,0
F4_LIGHTNING,K,G,0,1,1,1,1,0,0,0
F5_BI,K,G,0,1,1,1,1,0,0,0
F6_OWL,K,G,0,1,1,1,1,0,0,0
F7_FROG,K,G,0,1,1,1,1,0,0,0
F8_BOY,K,G,0,1,1,1,1,0,0,0
F9_HOLE,K,G,0,1,1,1,1,0,0,0
F11_SICK,K,G,0,1,1,1,1,0,0,0
F12_WATER,K,G,0,1,1,1,1,0,0,0
F15_BIRD,K,G,0,1,1,1,1,0,0,0
F16_DOG,K,G,0,1,1,1,1,0,0,0
F17_GIRL,K,G,0,1,1,1,1,0,0,0
F18_NEST,K,G,0,1,1,1,1,0,0,0
F19_MOTHER,K,G,0,1,1,1,1,0,0,0
F20_FATHER,K,G,0,1,1,1,1,0,0,0
F22_BUTTERFLY,K,G,0,1,1,1,1,0,0,0
F23_TEA,K,G,0,1,1,1,1,0,0,0
F24_BOTTLE,K,G,0,1,1,1,1,0,0,0
F25_FENCE,E,G,0,1,1,1,1,0,0,0
F27_NOSE,K,G,0,1,1,1,1,0,0,0
F28_HEAD,K,G,0,1,1,1,1,0,0,0
F31_GOANNA,K,G,0,1,1,1,1,0,0,0
F32_ONE,K,G,0,1,1,1,1,0,0,0
F34_CLOSE,K,G,0,1,1,1,1,0,0,0
F35_FAR,K,G,0,1,1,1,1,0,0,0
F36_FAMILY,K,G,0,1,1,1,1,0,0,0
F38_WHAT,K,G,0,1,1,1,1,0,0,0
F42_LITTLE,K,G,0,1,1,1,1,0,0,0
F45_AHEAD,K,G,0,1,1,1,1,0,0,0
F46_HUSBAND,K,G,0,1,1,1,1,0,0,0
F47_CAT,K,G,0,1,1,1,1,0,0,0
F48_WHATSIT,K,G,0,1,1,1,1,0,0,0
F49_THREE,K,G,0,1,1,1,1,0,0,0
F53_FISH,K,G,0,1,1,1,1,0,0,0
F54_MOUTH,K,G,0,1,1,1,1,0,0,0
F58_LOOK,K,G,0,1,1,1,1,0,0,0
F59_SEARCH,K,G,0,1,1,1,1,0,0,0
F60_BLEED,K,G,0,1,1,1,1,0,0,0
F62_BITE,K,G,0,1,1,1,1,0,0,0
F63_LICK,K,G,0,1,1,1,1,0,0,0
F64_JUMP,K,G,0,1,1,1,1,0,0,0
F65_CLIMB,K,G,0,1,1,1,1,0,0,0
F66_CRY,K,G,0,1,1,1,1,0,0,0
F69_SLEEP,K,G,0,1,1,1,1,0,0,0
F70_STEAL,K,G,0,1,1,1,1,0,0,0
F72_HUNT,K,G,0,1,1,1,1,0,0,0
F77_SHOW,K,G,0,1,1,1,1,0,0,0
F78_WAIT,K,G,0,1,1,1,1,0,0,0
F79_LISTEN,K,G,0,1,1,1,1,0,0,0
F80_TALK,K,G,0,1,1,1,1,0,0,0
F84_BANG_ON,K,G,0,1,1,1,1,0,0,0
F85_ADJ,K,G,0,1,1,1,1,0,0,0
F88_OBLIQUE,K,G,0,1,1,1,1,0,0,0
F89_DETERMINER,E,K,0,1,1,1,0,0,0,0
F95_DATIVE,I,G,0,1,1,1,1,0,0,0
F99_FACTIVE,K,G,0,1,1,1,1,0,0,0
F108_PASSIVE,K,G,0,1,1,0,0,0,0,0
