var,V1,V2,V3,V1.1,V1.2,V1.3,V2.1,V2.2,V2.3,V3.1,V3.2,V3.3,V4.1,V4.2,V4.3,V5.1,V5.2,V5.3,V6.1,V6.2,V6.3,V7.1,V7.2,V7.3
F3_FOOT,K,G,G,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
F10_TURTLE,K,G,G,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
F13_CAR,K,I,G,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
F14_HAPPY,E,K,G,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
F21_BARRA,K,G,G,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
F30_SNAKE,K,G,G,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1
F33_TREE,K,G,W,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
F37_OUR,K,G,G,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
F39_WHERE,E,K,G,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0
F40_Next_to,K,E,G,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0
F41_WHITEFELLA,K,G,G,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
F43_BIG,K,E,G,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1
F44_FIRE,K,G,G,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0
F50_EYE,E,G,G,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F52_SHADE,K,G,G,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
F55_ROCK,K,K,G,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
F56_RETURN,K,G,G,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
F57_SQUASH,K,G,G,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
F61_FISHING,K,E,G,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
F67_CHASE,K,I,G,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0
F68_QUIET,K,G,G,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
F71_WALK,K,E,G,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1
F73_HIT_HEAD,K,G,G,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
F74_EAT,K,E,G,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0
F76_SIT,K,G,G,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0
F81_ALL,K,E,G,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1
F91_PLURAL,K,G,G,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
F93_DATIVE,I,I,G,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
F94_PROP,K,E,G,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
F98_DATIVE,K,I,G,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
F100_INSTRUMENTAL,G,I,K,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
F101_LOCATIVE,K,I,G,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
F102_CASE.AGREEMENT,K,G,I,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
F103_SUBJECT.MARKING,K,G,I,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F104_CASE.ALIGNMENT,K,G,I,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F106_REDUCED.SUBORDINATE.CLAUSE,K,G,I,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
F107_AGAIN,E,K,G,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0
F109_PLACEMENT,K,G,I,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F110_ACCOMPANIMENT,K,G,I,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F115_PAST_TENSE,E,K,G,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
F116_NEGATION,K,E,G,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
F117_COPULA,K,I,G,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
